ar;val;riksdagsvalkrets_id;riksdagsvalkrets_namn;kommun_id;kommun_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801011;Majorna-Linné, Klippan;43;36;0;0;149;183;0;0;309;345;0;0;200;247;0;0;101;96;0;0;1709
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801012;Majorna-Linné, Kungsladugård;33;33;0;0;161;174;0;0;343;351;0;0;103;141;0;0;56;74;0;0;1469
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801013;Majorna-Linné, Mariaplan;43;28;0;0;107;145;0;0;292;321;0;0;122;154;0;0;46;48;0;0;1306
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801014;Majorna-Linné, Silverkällan;28;48;0;0;114;128;0;0;295;377;0;0;174;174;0;0;52;58;0;0;1448
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801015;Majorna-Linné, Skytteskogen;47;57;0;0;146;196;0;0;241;267;0;0;223;206;0;0;138;154;0;0;1675
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801016;Majorna-Linné, Svalebo;26;39;0;0;114;148;0;0;228;200;0;0;148;134;0;0;101;121;0;0;1259
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801021;Majorna-Linné, Sandarne;21;26;0;0;184;215;0;0;362;375;0;0;139;151;0;0;107;159;0;0;1739
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801031;Majorna-Linné, Godhem;25;24;0;0;91;118;0;0;251;289;0;0;128;103;0;0;68;72;0;0;1169
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801032;Majorna-Linné, Gråberget;19;16;0;0;119;144;0;0;307;257;0;0;150;169;0;0;157;247;0;0;1585
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801033;Majorna-Linné, Hängmattan;33;33;0;0;83;100;0;0;302;306;0;0;166;200;0;0;103;154;0;0;1480
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801034;Majorna-Linné, Majorna;34;37;0;0;166;189;0;0;263;228;0;0;155;149;0;0;152;243;0;0;1616
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801035;Majorna-Linné, Marieberg;33;31;0;0;110;123;0;0;303;327;0;0;147;167;0;0;49;65;0;0;1355
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801036;Majorna-Linné, Slottsskogsgatan m fl;23;19;0;0;112;153;0;0;301;255;0;0;164;183;0;0;187;252;0;0;1649
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801041;Majorna-Linné, Djurgårdsgatan m fl;18;35;0;0;125;149;0;0;405;419;0;0;162;191;0;0;64;71;0;0;1639
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801042;Majorna-Linné, Gatenhielmska;39;33;0;0;124;133;0;0;267;280;0;0;107;126;0;0;70;98;0;0;1277
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801043;Majorna-Linné, Karl Johans torg;34;39;0;0;158;209;0;0;369;406;0;0;154;201;0;0;87;84;0;0;1741
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801044;Majorna-Linné, Söderlingska ängen;32;37;0;0;137;155;0;0;279;344;0;0;125;136;0;0;51;82;0;0;1378
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801051;Majorna-Linné, Masthugget, Nedre;36;40;0;0;121;118;0;0;206;178;0;0;169;190;0;0;112;138;0;0;1308
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801052;Majorna-Linné, Masthugget, Övre;28;34;0;0;137;173;0;0;325;318;0;0;145;190;0;0;80;92;0;0;1522
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801053;Majorna-Linné, Masthuggstorget;20;18;0;0;162;142;0;0;276;206;0;0;128;136;0;0;90;97;0;0;1275
2014;rd;16;Göteborgs kommun;1480;Göteborg;14801054;Majorna-Linné, Oscar Fredrik;25;26;0;0;147;163;0;0;266;258;0;0;141;155;0;0;66;88;0;0;1335
