kod_2022;namn_2022;kod_2018_troligast;namn_2018;typ;belagg;kalla
14800101;Nordöstra Göteborg, Bergum;14806111;Angered, Bergum;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806111 (Angered, Bergum) täcker 99.3 procent av det nya distriktet, 96.8 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800102;Nordöstra Göteborg, Olofstorp;14806113;Angered, Olofstorp;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806113 (Angered, Olofstorp) täcker 99.9 procent av det nya distriktet, 97.0 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800103;Nordöstra Göteborg, Björsared;14806112;Angered, Björsared;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806112 (Angered, Björsared) täcker 63.6 procent av det nya distriktet, 34.2 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800104;Nordöstra Göteborg, Gunnilse;14806101;Angered, Gunnilse-Linnarhult;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806101 (Angered, Gunnilse-Linnarhult) täcker 71.4 procent av det nya distriktet, 67.5 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800105;Nordöstra Göteborg, Linnarhult;14806101;Angered, Gunnilse-Linnarhult;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806101 (Angered, Gunnilse-Linnarhult) täcker 99.7 procent av det nya distriktet, 32.4 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800106;Nordöstra Göteborg, Angereds Centrum;14806041;Angered, Angereds Centrum;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806041 (Angered, Angereds Centrum) täcker 95.5 procent av det nya distriktet, 87.0 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800107;Nordöstra Göteborg, Storås;14806064;Angered, Sandeslätt;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806064 (Angered, Sandeslätt) täcker 98.4 procent av det nya distriktet, 69.9 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800108;Nordöstra Göteborg, Eriksbo Östra;14806131;Angered, Eriksbo;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806131 (Angered, Eriksbo) täcker 92.0 procent av det nya distriktet, 65.1 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800109;Nordöstra Göteborg, Hammarkullen C;14806064;Angered, Sandeslätt;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806064 (Angered, Sandeslätt) täcker 41.2 procent av det nya distriktet, 3.7 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800110;Nordöstra Göteborg, Hammarkullen Ö;14806063;Angered, Hammarkullen, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806063 (Angered, Hammarkullen, Östra) täcker 72.1 procent av det nya distriktet, 44.1 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
